Year,Month,"Trump: The Art of the Deal","Trump: Think Like a Billionaire","Youve Been Trumped"
2006,1,1,5,0
2006,2,6,6,0
2006,3,3,11,0
2006,4,3,1,0
2006,5,8,5,0
2006,6,4,5,0
2006,7,10,10,0
2006,8,2,3,0
2006,9,5,4,0
2006,10,4,4,0
2006,11,4,8,0
2006,12,2,7,0
2007,1,1,4,0
2007,2,2,3,0
2007,3,6,9,0
2007,4,3,8,0
2007,5,3,7,0
2007,6,3,1,0
2007,7,0,6,0
2007,8,8,7,0
2007,9,4,3,0
2007,10,0,3,0
2007,11,3,4,0
2007,12,2,4,0
2008,1,4,4,0
2008,2,2,8,0
2008,3,2,3,0
2008,4,4,1,0
2008,5,0,2,0
2008,6,3,5,0
2008,7,1,1,0
2008,8,8,2,0
2008,9,2,1,0
2008,10,4,0,0
2008,11,0,2,0
2008,12,2,1,0
2009,1,2,1,0
2009,2,1,2,0
2009,3,3,1,0
2009,4,3,3,0
2009,5,1,0,0
2009,6,2,2,0
2009,7,1,5,0
2009,8,0,1,0
2009,9,1,0,0
2009,10,0,4,0
2009,11,2,2,0
2009,12,0,2,0
2010,1,3,0,0
2010,2,1,1,0
2010,3,0,2,0
2010,4,3,1,0
2010,5,3,1,0
2010,6,0,0,0
2010,7,0,0,0
2010,8,2,1,0
2010,9,5,0,0
2010,10,0,0,0
2010,11,3,0,0
2010,12,0,1,0
2011,1,0,0,0
2011,2,5,0,0
2011,3,5,4,0
2011,4,0,0,0
2011,5,8,0,0
2011,6,2,0,0
2011,7,0,0,0
2011,8,2,0,0
2011,9,0,0,0
2011,10,0,0,0
2011,11,0,0,0
2011,12,1,0,0
2012,1,1,0,0
2012,2,1,0,0
2012,3,0,0,0
2012,4,2,0,0
2012,5,1,0,0
2012,6,0,1,0
2012,7,0,0,0
2012,8,0,0,0
2012,9,2,0,0
2012,10,1,0,0
2012,11,1,0,0
2012,12,0,0,0
2013,1,0,0,0
2013,2,2,0,0
2013,3,2,1,2
2013,4,0,0,14
2013,5,2,0,12
2013,6,0,0,9
2013,7,0,0,8
2013,8,1,0,9
2013,9,1,0,1
2013,10,0,0,6
2013,11,0,0,1
2013,12,0,0,4
2014,1,3,0,4
2014,2,0,0,6
2014,3,1,0,3
2014,4,1,0,6
2014,5,1,0,2
2014,6,1,0,9
2014,7,1,0,2
2014,8,1,0,3
2014,9,0,0,2
2014,10,0,0,3
2014,11,0,0,1
2014,12,0,0,2
2015,1,1,0,2
2015,2,1,0,2
2015,3,0,0,0
2015,4,0,0,1
2015,5,1,0,1
2015,6,0,0,5
2015,7,2,0,1
2015,8,2,0,2
2015,9,5,0,3
2015,10,4,0,5
2015,11,2,0,6
2015,12,3,0,3
2016,1,3,0,5
2016,2,5,0,4
2016,3,6,0,8
2016,4,3,0,10
2016,5,6,0,8
2016,6,5,0,7
2016,7,4,0,10
2016,8,7,0,4
2016,9,5,0,3
2016,10,3,0,4
2016,11,4,0,5
2016,12,6,0,7
2017,1,5,0,5
2017,2,5,0,7
2017,3,12,0,6
2017,4,16,0,6
2017,5,12,0,3
2017,6,12,0,5
2017,7,10,0,4
2017,8,5,0,3
2017,9,5,0,1
2017,10,5,0,1
2017,11,6,0,3
2017,12,1,0,0
